MMS,4
CYGNUSOA-,4
XIAOXIANG,4
SUPERVIEW-,4
FLOCKM,4
AO-,4
LKW-,4
FLOCKPP,4
BEIDOUG,4
HIBER-,4
ORCA-,4
TDOSPACECRAFT,4
KL-ALPHAA,4
NETSAT-,4
GUNSMOKE-J,4
CNCE,4
TROPICS-,4
VANGUARD,3
DISCOVERERCAPSULE,3
SAMOSDEB(REFLECTOR),3
SURCAL,3
DASH,3
HITCHHIKER,3
ATLASCENTAURDEB,3
OAO,3
CISUNKNOWNDEB,3
BIOSAT,3
AURORA,3
TATS(TETR-),3
ATLAS-DDEB,3
NATOA,3
DFH-,3
NATOB,3
AUREOLE,3
SKYNETA,3
SMS,3
SOYUZDEB,3
SKYNETB,3
JSSW-,3
MARISAT,3
SSU,3
HEAO,3
ROHINI,3
NOVA,3
FLTSATCOM,3
SATCOMR,3
ISKRA,3
PALAPAB,3
SPAS,3
PROGRESSDEB,3
STSB,3
JD,3
STSC,3
CCE(AMPTE),3
MORELOS,3
OPTUSA(AUSSAT),3
JAS(FUJI),3
INSATC,3
OFEQ(HORIZON),3
DFS,3
HIMAWARIAKM,3
INSATD,3
BADR,3
OPTUSB(AUSSATB),3
MSTI,3
TURKSATB,3
IRSP,3
ORBVIEW(MICROLAB),3
SICH,3
AFRICASAT(MEASAT),3
SIRIUS,3
SSUS-ADEB,3
FENGYUNC,3
STARSHINE,3
ABS(LMI),3
CBERS,3
EXPRESSA,3
EUTEC(SESAT),3
THURAYA,3
ANIKF,3
DIRECTVS,3
JASON,3
METEORM,3
FENGYUND,3
CUTE-,3
SAUDISAT,3
SPACEWAY,3
KAZSAT,3
OPTUSD,3
TACSAT,3
CAPE,3
RADUGAM-,3
CHUANGXIN-(CX--),3
STARS(KUKAI),3
PRISMA(MANGO),3
EUTEWB,3
HYLAS,3
VIASAT,3
ZY,3
TIANTUO,3
AAUSAT,3
RESURSP,3
POPACS,3
HORUS,3
CYGNUSORB-,3
SENTINELA,3
HODOYOSHI,3
VELOX,3
CHUBUSAT,3
AEROCUBEC,3
CHINASATC,3
TELSTARV,3
EXPRESSAMU,3
